Filters
Region filter: All
Infection syndrome filter: Bloodstream
Bacterial pathogen filter: Klebsiella pneumoniae
Antibiotic filter: Ceftazidime

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2017,"BLOOD","Klebsiella pneumoniae","Ceftazidime",3.04448882050611,31.7784090260903,54.1176470588235,77.7834008097166,94.7368421052632
2018,"BLOOD","Klebsiella pneumoniae","Ceftazidime",3.25452483937345,31.3006124714956,55.106100795756,70.6829923971941,96.5116279069768
2019,"BLOOD","Klebsiella pneumoniae","Ceftazidime",3.77639946612232,33.0266306442068,55.1663747810858,77.0061962596966,95.0391644908616
2020,"BLOOD","Klebsiella pneumoniae","Ceftazidime",4.33111989853018,34.0905832139349,61.4035087719298,77.3970839444076,99.1525423728814


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"THA","Thailand","South-East Asia Region",2019,"BLOOD","Klebsiella pneumoniae","Ceftazidime",5463,914,319,34.9015317286652
"THA","Thailand","South-East Asia Region",2020,"BLOOD","Klebsiella pneumoniae","Ceftazidime",6159,1094,328,29.981718464351
"TUN","Tunisia","Eastern Mediterranean Region",2017,"BLOOD","Klebsiella pneumoniae","Ceftazidime",835,181,131,72.3756906077348
"TUN","Tunisia","Eastern Mediterranean Region",2018,"BLOOD","Klebsiella pneumoniae","Ceftazidime",1660,300,200,66.6666666666667
"TUN","Tunisia","Eastern Mediterranean Region",2019,"BLOOD","Klebsiella pneumoniae","Ceftazidime",932,149,97,65.1006711409396
"TUN","Tunisia","Eastern Mediterranean Region",2020,"BLOOD","Klebsiella pneumoniae","Ceftazidime",917,171,105,61.4035087719298
"UGA","Uganda","African Region",2017,"BLOOD","Klebsiella pneumoniae","Ceftazidime",112,11,10,90.9090909090909
"UGA","Uganda","African Region",2018,"BLOOD","Klebsiella pneumoniae","Ceftazidime",76,12,6,50
"UGA","Uganda","African Region",2019,"BLOOD","Klebsiella pneumoniae","Ceftazidime",70,14,13,92.8571428571429
"UGA","Uganda","African Region",2020,"BLOOD","Klebsiella pneumoniae","Ceftazidime",133,19,14,73.6842105263158
